coefficients,x_known,y_known,z_known,e_known,hyperparameter,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand
"[-0.22565578  1.48309736  0.41564658 -0.67696734  1.79959473  0.3938316
  0.02051416  1.51628218  0.37363548  0.15727524  1.70283798  0.63813225]","[1.22 1.22 1.22 1.22 1.22 1.22 1.22 1.22 1.22 1.57 1.57 1.57 1.57 1.57
 1.57 1.57 1.57 1.57 1.62 1.62 1.62 1.62 1.62 1.62 1.62 1.94 1.94 1.94
 1.94 1.94 1.94 1.94 1.94]","[-0.69 -0.52 -0.31 -0.17 -0.01  0.1   0.47  0.56  0.8  -0.85 -0.51 -0.32
 -0.18  0.    0.24  0.4   0.51  0.71 -0.65 -0.42 -0.15  0.08  0.24  0.6
  0.7  -0.73 -0.43 -0.28 -0.09  0.    0.27  0.51  0.81]","[-0.04712042 -0.03703704 -0.06037736 -0.09777778 -0.1496063  -0.18640351
 -0.34860051 -0.3745098  -0.29663609  0.26979472  0.10616785 -0.1037037
 -0.12922002 -0.28388017 -0.42424242 -0.48739496 -0.54444444 -0.60490463
  0.16149068  0.16374269 -0.13157895 -0.13043478 -0.33333333 -0.60092272
 -0.68328446  0.41626794  0.16642121  0.04215852 -0.0542477  -0.10793238
 -0.34733894 -0.5239521  -0.63165075]","[0.03613854 0.03454134 0.04335798 0.04691457 0.03923717 0.03253294
 0.04727909 0.02903248 0.0528111  0.03687203 0.03161843 0.06052993
 0.0338335  0.03621563 0.04550553 0.032678   0.03126011 0.02939189
 0.05499635 0.05334398 0.06565082 0.05733743 0.0364511  0.02714589
 0.03953996 0.03144679 0.03784131 0.04102857 0.03194573 0.03585026
 0.03509402 0.03295511 0.02863463]",[0.24039381 0.95496591],0.42424242424242425,0.5757575757575758,0.9696969696969697,0.8181818181818182,0.8787878787878788,0.9696969696969697,"[-0.23278504 -0.20832935  0.0800533   0.55109458  0.05728298 -0.91598464
  0.28555107  0.75901934 -0.24024515  0.018483   -0.85699477  0.22556676]","[-0.23035964  1.47648457  0.41919367 -0.65492443  1.8         0.37102752
  0.02640768  1.8         0.25611807  0.15836894  1.4         0.74999991]","[ 0.03274717 -0.23583762 -0.93578199  1.07055509  0.02038172 -1.63581871
  1.0507307  -0.39810009 -1.10562172  0.22373164 -0.82237716  0.15557104]","[-0.22434462  1.40002801  0.34192066 -0.59314751  1.79999997  0.30874855
  0.05886776  1.40000023  0.25000022  0.22817663  1.40000003  0.68355998]"
"[-0.32928735  1.68632857  0.35263926  0.01317149  1.6206012   0.41325975
 -0.29416337  1.60570198  0.28748416  0.12732444  1.7464215   0.4146429 ]","[1.26 1.26 1.26 1.26 1.4  1.4  1.4  1.4  1.4  1.4  1.69 1.69 1.69 1.69
 1.69 1.69 1.85 1.85 1.85 1.85 1.85]","[-0.63 -0.37  0.24  0.56 -0.63 -0.41 -0.2   0.03  0.38  0.79 -0.69 -0.33
 -0.22  0.22  0.37  0.73 -0.75 -0.35  0.    0.33  0.82]","[-0.23913043 -0.06264501 -0.14790287 -0.14634146 -0.29906542 -0.140553
 -0.08357349 -0.12890095 -0.21221865 -0.38422392 -0.46226415 -0.25321888
 -0.1858156  -0.23480663 -0.26868045 -0.4916986  -0.4112     -0.16129032
 -0.1838565  -0.26575342 -0.45145631]","[0.05844658 0.0480737  0.04646736 0.04885479 0.06523    0.03360527
 0.05349501 0.03652817 0.03918304 0.04657129 0.04306401 0.06337707
 0.03700628 0.03612566 0.03840647 0.03111862 0.03646181 0.03963514
 0.06582341 0.03568076 0.03108451]",[0.87473817 0.81477536],0.6666666666666666,1.0,1.0,0.6190476190476191,0.7142857142857143,1.0,"[ 0.88856035 -1.20511184 -0.85722249  0.70901493 -0.64815449 -0.32603753
 -0.32445999 -0.10787892  0.09812993  1.1035501  -1.7215584   1.33106516]","[-0.30563049  1.65779617  0.32136827  0.03536082  1.4         0.25051348
 -0.31370122  1.60109612  0.29466255  0.23133565  1.40171015  0.74991551]","[-0.59392486  0.13725215  0.83024831  0.1438142  -0.55547042  0.62876227
 -5.94415407  0.28579027  0.92691479  0.86961932  0.18370225  0.67777634]","[-0.34809587  1.69118028  0.3841138   0.05101897  1.40002265  0.60572194
 -0.66101917  1.67870706  0.749997    0.22990266  1.78645537  0.74940952]"
"[-0.44790865  1.63552982  0.5483829  -0.27339879  1.45465079  0.36699756
 -0.11052291  1.6828149   0.39673573 -0.22686282  1.52491412  0.60983406]","[1.27 1.27 1.27 1.27 1.27 1.27 1.57 1.57 1.57 1.57 1.57 1.57 1.57 1.57
 1.72 1.72 1.72 1.72 1.81 1.81 1.81 1.81]","[-0.63 -0.3  -0.04  0.24  0.53  0.75 -0.72 -0.53 -0.42 -0.05  0.02  0.37
  0.63  0.66 -0.7  -0.27  0.34  0.56 -0.68 -0.37  0.28  0.48]","[-0.11401425 -0.1884058  -0.2293578  -0.27690447 -0.43089431 -0.42976356
 -0.26666667 -0.17596567 -0.25069638 -0.29723502 -0.29657795 -0.31393939
 -0.41451415 -0.5012987  -0.19477124 -0.25387366 -0.18213058 -0.3974359
 -0.26973684 -0.22476447 -0.3030303  -0.29290323]","[0.03423755 0.03564765 0.03296153 0.03341368 0.03638838 0.03367403
 0.06650775 0.06448995 0.03612789 0.03240817 0.04164036 0.03305536
 0.0319166  0.03118232 0.03546266 0.03339274 0.05764056 0.05195057
 0.03188593 0.03574775 0.04147317 0.03434564]",[0.07707866 0.96327147],0.4090909090909091,0.6818181818181818,0.9090909090909091,0.9545454545454546,1.0,1.0,"[ 0.3794579  -0.30962322 -0.31580975 -0.0871904  -0.25141238  0.29567206
  0.52628422  0.30006356 -0.3190501   3.66754018  0.98831742 -1.16947835]","[-0.41580635  1.61705267  0.51357549 -0.28449243  1.40000406  0.42421573
 -0.0915953   1.79999988  0.25002796 -0.08404701  1.66980851  0.25000003]","[-0.72770172  0.30936234  0.59387659  1.08335606 -0.06635377 -0.17854561
 -0.05531604  0.05522492 -0.31295329  0.63984971  0.13705879  0.05323231]","[-0.4926251   1.75181798  0.59669    -0.21410765  1.4348207   0.3483655
 -0.11410406  1.69603133  0.26196326 -0.09280365  1.5601512   0.62835702]"
"[-0.44306577  1.52782305  0.40693802  0.32621326  1.72136382  0.47732703
 -0.18988533  1.49844073  0.43636648 -0.10224595  1.79376705  0.55522693]","[1.32 1.32 1.32 1.32 1.58 1.58 1.58 1.58 1.58 1.79 1.79 1.79 1.79 1.79
 1.79 1.84 1.84 1.84 1.84]","[-0.68 -0.37  0.28  0.55 -0.59 -0.24  0.13  0.4   0.77 -0.67 -0.47 -0.04
  0.08  0.46  0.67 -0.62 -0.29  0.09  0.7 ]","[-0.59498208 -0.39183673 -0.25518926 -0.22444679 -0.59119497 -0.4279661
 -0.47169811 -0.2        -0.31151832 -0.56578947 -0.43922204 -0.37335286
 -0.28725702 -0.16393443 -0.2020592  -0.57142857 -0.35648148 -0.29289428
 -0.1624714 ]","[0.03402498 0.04156293 0.03378591 0.03163317 0.03198094 0.04160053
 0.06055953 0.04898979 0.03437848 0.02730357 0.03616736 0.03549705
 0.04451523 0.03157617 0.03513482 0.03939255 0.04495164 0.03980483
 0.03337607]",[1.28140661 0.5917588 ],0.3684210526315789,0.631578947368421,0.8947368421052632,0.15789473684210525,0.3684210526315789,0.7368421052631579,"[-0.2672829   0.38520005  0.20431913  2.84641087 -0.09228042  0.58181988
  0.68948098 -0.28230403 -0.86096934  1.71138727  0.01831368 -0.64424661]","[-0.45719003  1.53708832  0.41925602  0.5031915   1.69185863  0.74999915
 -0.15687705  1.40000032  0.33119131 -0.02690523  1.79999941  0.25000296]","[-14.96388168  -0.87173342   4.05632441   1.2012725    0.22408774
   0.55125174  -0.07849018  -0.36612755   0.4677823    0.84760474
  -1.33511822  -0.90892317]","[-0.75116429  1.46183053  0.74999981  0.41643927  1.78937476  0.74999999
 -0.20661578  1.40000003  0.62055422 -0.07390737  1.40000001  0.25      ]"
"[ 0.7230981   1.64809914  0.67863284 -0.47313826  1.42788909  0.53323983
 -0.65168101  1.74866118  0.68281182  0.83022375  1.6483592   0.71494483]","[1.29 1.29 1.29 1.29 1.29 1.29 1.29 1.46 1.46 1.46 1.46 1.71 1.71 1.71
 1.71 1.71 1.85 1.85 1.85 1.85 1.85 1.85 1.85 1.85 1.85]","[-0.71 -0.5  -0.14  0.06  0.16  0.55  0.82 -0.68 -0.15  0.27  0.66 -0.78
 -0.19  0.    0.4   0.64 -0.84 -0.59 -0.44 -0.15  0.05  0.1   0.46  0.48
  0.77]","[ 0.56944444  0.83703704  0.64071856  0.55642023  0.31210191 -0.04265403
 -0.1027027   0.68837803  0.68682171  0.29896907  0.07184466  0.5027933
  0.78846154  0.64344746  0.24626866 -0.00961538  0.31690141  0.75202781
  0.84419714  0.71612903  0.56280193  0.50697674  0.15416667  0.1437037
  0.03246753]","[0.04843857 0.03329826 0.04201082 0.02992417 0.05361435 0.06878019
 0.07313269 0.02592197 0.02861874 0.03955547 0.04395139 0.04568531
 0.02279653 0.02630256 0.03418111 0.04902677 0.05628066 0.02243709
 0.02137303 0.02803107 0.02872605 0.02939258 0.03188901 0.03809052
 0.03288024]",[1.45257467 0.30892963],0.44,0.56,0.88,0.64,0.84,1.0,"[ 4.81753469  0.4029038   0.18234447 -4.06360023 -0.10172124  0.46683986
 -2.31209727 -0.64903766  0.17617567  0.46005518 -0.1315653   0.10178299]","[ 0.81074274  1.67040969  0.74994645 -0.66803961  1.40000002  0.7499793
 -0.75205479  1.65590182  0.74999531  0.86303539  1.62958642  0.74999878]","[ 4.28140131  0.38495475  0.19957527 -3.47413422  0.47855627  0.44624736
 -0.23070436 -0.813755    0.1008854  -0.52770994 -0.72057325 -0.3695316 ]","[ 0.79936262  1.67413766  0.7499992  -0.64205221  1.57240417  0.74999989
 -0.7491297   1.50588435  0.72151258  0.681689    1.40000001  0.5734898 ]"
"[ 0.45333542  1.77921059  0.40930135 -0.13333395  1.62649186  0.30521117
 -0.77333689  1.45234859  0.47044391 -0.40000184  1.60337769  0.2580634 ]","[1.26 1.26 1.26 1.26 1.26 1.26 1.26 1.26 1.26 1.4  1.4  1.4  1.4  1.4
 1.4  1.4  1.4  1.4  1.77 1.77 1.77 1.77 1.77 1.77 1.77 1.82 1.82 1.82
 1.82 1.82 1.82]","[-0.71 -0.62 -0.37 -0.12 -0.02  0.21  0.34  0.51  0.77 -0.82 -0.64 -0.41
 -0.1   0.08  0.13  0.35  0.61  0.7  -0.66 -0.46 -0.31 -0.09  0.35  0.43
  0.74 -0.68 -0.37 -0.1   0.15  0.3   0.67]","[ 0.06086957  0.02675585  0.33333333  0.54208754  0.47790339  0.48165138
  0.475       0.29548763 -0.11668758  0.19154557  0.06224066  0.3254818
  0.63066202  0.63636364  0.69426752  0.69874477  0.34005038  0.10703364
  0.31555556  0.40625     0.48657718  0.63206578  0.74516129  0.73019802
  0.25446429  0.30275229  0.41997264  0.63565891  0.73455378  0.74969623
  0.30311615]","[0.03290789 0.0408784  0.03076741 0.04876043 0.02816061 0.02967739
 0.03718619 0.03644874 0.03517984 0.03567263 0.04546044 0.03093929
 0.04580923 0.04651652 0.03316281 0.04627351 0.0333738  0.05498245
 0.03163024 0.0344387  0.03578559 0.02484263 0.02678272 0.02403614
 0.04569034 0.040825   0.03356646 0.04806076 0.03245947 0.02306827
 0.0507206 ]",[0.44445629 0.52279724],0.5161290322580645,0.6774193548387096,0.9354838709677419,0.5806451612903226,0.7096774193548387,0.967741935483871,"[-3.52679173 -3.31936842 -3.04807482  0.11996158 -0.49108113 -0.01371959
 -1.14962609 -0.14491439  0.9728032   0.03224132 -0.23450578 -0.33186742]","[ 0.36225978  1.68706113  0.31469588 -0.12908888  1.58784708  0.30371671
 -0.94201093  1.40020993  0.56880322 -0.39901847  1.59832578  0.25      ]","[-1.90988675 -2.51357509 -2.56916405  0.08738188 -0.88942339  0.18793586
 -0.581636   -0.13899267  0.58600611  0.3741547  -1.07203338  0.19690391]","[ 0.38471927  1.69510465  0.33551525 -0.12655701  1.40000001  0.36232041
 -0.89776572  1.4000189   0.55315679 -0.38376642  1.57369136  0.26414851]"
"[-0.52334346  1.44558505  0.64010692  0.48062155  1.64471441  0.69200733
  0.24565101  1.77655134  0.43744472 -0.58742633  1.7545315   0.35119186]","[1.32 1.32 1.32 1.32 1.32 1.57 1.57 1.57 1.57 1.57 1.57 1.57 1.57 1.57
 1.64 1.64 1.64 1.64 1.64 1.64 1.64 1.64 1.95 1.95 1.95 1.95]","[-0.8  -0.2   0.01  0.31  0.72 -0.79 -0.54 -0.3  -0.15 -0.02  0.14  0.46
  0.48  0.72 -0.85 -0.59 -0.36 -0.1   0.17  0.32  0.45  0.8  -0.79 -0.22
  0.3   0.74]","[-0.39957717 -0.43568465 -0.41410488 -0.12776831 -0.03128911 -0.45695364
 -0.71208226 -0.68137255 -0.61034483 -0.49514563 -0.24547284  0.04022989
  0.1037037   0.0025974  -0.18766067 -0.63461538 -0.71139971 -0.50905433
 -0.17802198  0.03401361  0.0248366  -0.10789474 -0.29166667 -0.53898305
 -0.02639296  0.08262108]","[0.04214989 0.0579805  0.03870688 0.04093613 0.03536014 0.03619286
 0.03559768 0.02562291 0.03289165 0.0428032  0.03074761 0.03787422
 0.06052993 0.05096455 0.04980124 0.04375278 0.02669669 0.02730084
 0.03262016 0.04759149 0.03614392 0.03606206 0.03087155 0.03467763
 0.05413417 0.03761353]",[0.0177505  0.95212347],0.3076923076923077,0.6923076923076923,1.0,0.8846153846153846,0.9615384615384616,1.0,"[ 1.2831717   0.69804119 -1.16385113 -0.3512266  -0.4198952   0.14646314
  1.58609426  0.06423984  0.91412232 -0.38796212 -0.1139224   0.33578809]","[-0.42672452  1.49030514  0.53159892  0.4681363   1.57504134  0.74999888
  0.35468126  1.79999977  0.74853639 -0.64421595  1.74771058  0.38138068]","[ 0.29822362  0.81032151 -0.09304614 -2.0198079  -1.11221506 -1.42427914
 -0.96286101 -1.52169951 -0.50961285  1.24454638 -0.88897866 -0.25261422]","[-0.10113665  1.70281627  0.60072276  0.08317089  1.40027123  0.25000092
 -0.102447    1.40000005  0.25000009  0.03439067  1.40003619  0.25000521]"
"[ 0.29998337  1.57226665  0.29848066  0.2696053   1.49342745  0.55368682
  0.27719982  1.68672338  0.41000162 -0.0265808   1.65488243  0.73949101]","[1.27 1.27 1.27 1.27 1.27 1.27 1.27 1.27 1.27 1.54 1.54 1.54 1.54 1.54
 1.54 1.69 1.69 1.69 1.69 1.69 1.69 1.89 1.89 1.89 1.89 1.89 1.89 1.89
 1.89]","[-0.75 -0.53 -0.37 -0.11  0.08  0.23  0.4   0.56  0.82 -0.83 -0.5  -0.26
  0.18  0.35  0.62 -0.74 -0.49 -0.27  0.09  0.45  0.57 -0.85 -0.44 -0.42
 -0.17  0.05  0.24  0.46  0.76]","[0.10603589 0.16393443 0.17218543 0.17108434 0.20446097 0.22080925
 0.25934579 0.33529412 0.37864078 0.42666667 0.23404255 0.29792148
 0.31772575 0.4052356  0.55434783 0.29048843 0.26652893 0.21150592
 0.26571429 0.39190751 0.51549296 0.24012158 0.15321252 0.13151365
 0.02475248 0.17132442 0.14285714 0.2808399  0.43551402]","[0.04016192 0.06315235 0.04008171 0.04836433 0.04220229 0.03316177
 0.03300984 0.05109328 0.04559827 0.04263425 0.06342105 0.04587469
 0.03877407 0.02958321 0.03067844 0.03430576 0.03097857 0.04020391
 0.03643773 0.0312811  0.03215865 0.0378435  0.04010953 0.03491756
 0.04973662 0.03434242 0.04954914 0.03476824 0.03891826]",[0.97593201 0.46188485],0.5862068965517241,0.6896551724137931,1.0,0.6206896551724138,0.8275862068965517,1.0,"[-0.00481433  1.26524295 -0.85722454 -1.07808819  1.49229527 -1.18793859
 -3.94707226  0.11928321 -0.4566342   0.75760025  0.34098901 -0.03172883]","[0.29992852 1.58638381 0.28714806 0.2131482  1.59232395 0.41120393
 0.19010004 1.69144238 0.25008295 0.01870651 1.78006283 0.72503657]","[-1.53134453 -2.28703209 -1.06709126 -9.40731713 -1.0208549  -0.96945744
 -3.20913223 -2.16124985 -1.90806399  0.61605551  0.21973567 -1.37400141]","[2.76058190e-01 1.54565642e+00 2.75392108e-01 1.27517427e-01
 1.44914989e+00 2.50007775e-01 1.64002191e-01 1.58128636e+00
 2.74684565e-01 2.46629888e-04 1.70689277e+00 3.82126192e-01]"
"[ 0.68401453  1.7834324   0.49797525  0.13680291  1.42805857  0.45371358
 -0.24946412  1.75826867  0.66207192 -0.02414169  1.51724062  0.57366608]","[1.3  1.3  1.3  1.3  1.3  1.54 1.54 1.54 1.54 1.54 1.54 1.54 1.54 1.54
 1.76 1.76 1.76 1.76 1.76 1.76 1.76 1.76 1.91 1.91 1.91 1.91]","[-0.57 -0.22  0.04  0.36  0.65 -0.78 -0.51 -0.44 -0.21  0.07  0.19  0.35
  0.58  0.69 -0.85 -0.52 -0.29 -0.11  0.05  0.26  0.53  0.69 -0.69 -0.26
  0.38  0.56]","[0.27046263 0.37866667 0.41411765 0.48044693 0.46580645 0.36569579
 0.39240506 0.44808743 0.51748252 0.61130742 0.55503513 0.57965194
 0.55298013 0.51567944 0.28767123 0.49677419 0.62162162 0.66777409
 0.60721443 0.5862069  0.56321839 0.60588235 0.45454545 0.51683168
 0.60248447 0.69767442]","[0.04061033 0.03379569 0.0312204  0.04635215 0.03178607 0.05294763
 0.05174237 0.04672959 0.03577835 0.04704344 0.02846453 0.02981432
 0.0339022  0.03576137 0.06471734 0.04929226 0.04552941 0.04290443
 0.03556841 0.04020763 0.04429476 0.04314499 0.03165048 0.03809537
 0.04447808 0.04460205]",[0.53906761 0.72590925],0.5,0.6538461538461539,0.9615384615384616,0.5384615384615384,0.7692307692307693,1.0,"[ 1.41662706  0.81980204  1.27931911  2.54745554  0.07819725  0.72092867
  2.88172811 -1.16500235 -1.18961872  1.73943182  0.62853708 -3.87544115]","[ 0.78007551  1.79999997  0.57043387  0.29278116  1.45618262  0.75
 -0.10470111  1.63316188  0.26744358  0.03647448  1.70983724  0.25      ]","[ 0.86555666  0.08701589  1.06623314  0.85458178 -0.11262586  0.28166443
  3.09520423 -1.55025384 -1.06806774  3.02839781  0.96038494 -4.8227141 ]","[ 0.77275799  1.78800004  0.57781624  0.223355    1.40000568  0.51275252
 -0.11562641  1.62695512  0.27387946  0.05632684  1.79999987  0.25000866]"
"[-0.1606358   1.56863848  0.58639197 -0.679613    1.71526617  0.73732796
 -1.1244506   1.57563917  0.67929267  0.3336282   1.72413381  0.45245824]","[1.26 1.26 1.26 1.26 1.26 1.26 1.26 1.26 1.58 1.58 1.58 1.58 1.58 1.58
 1.58 1.58 1.6  1.6  1.6  1.6  1.6  1.6  1.6  1.6  1.94 1.94 1.94 1.94]","[-0.69 -0.51 -0.3  -0.02  0.08  0.37  0.56  0.65 -0.69 -0.62 -0.39 -0.15
  0.03  0.3   0.54  0.78 -0.85 -0.63 -0.36 -0.22  0.2   0.36  0.42  0.75
 -0.82 -0.39  0.32  0.56]","[ 0.01010101  0.14644351  0.29153605  0.20731707  0.0848     -0.10186514
 -0.30534351 -0.40962567  0.15425532  0.15254237  0.34965035  0.35448276
  0.15178571 -0.08971554 -0.33942559 -0.65128205 -0.26283988  0.10405644
  0.35407407  0.41001855  0.01428571 -0.20502092 -0.23308271 -0.64102564
 -0.18885449  0.29095355 -0.08893709 -0.3757764 ]","[0.03553164 0.03199363 0.03092119 0.03118623 0.03985592 0.03768067
 0.03396536 0.02983389 0.05095381 0.03714247 0.03198456 0.03472735
 0.03302057 0.03294367 0.03398645 0.03842514 0.03749955 0.04176807
 0.03599653 0.03928595 0.05975533 0.04476733 0.03771026 0.0354786
 0.05464022 0.04730761 0.04639008 0.0365175 ]",[0.00461006 0.83964685],0.6428571428571429,0.6428571428571429,1.0,1.0,1.0,1.0,"[-2.51418629 -0.01612101  0.36190591  1.90479908 -0.66572702 -1.86202146
  0.32434077  0.4166753  -3.08382769  0.21238068 -0.03946344  0.05516613]","[-0.19995798  1.56410104  0.74999949 -0.43222649  1.64802011  0.47417725
 -0.99999684  1.61065326  0.59969993  0.37372746  1.71214656  0.46393328]","[ 0.58227309  0.10779449 -0.23756167  1.32359212 -0.39619016 -0.65260093
  1.69096018  0.08373281 -0.49301202 -0.44145281 -0.42666816  0.13073038]","[ 0.00339615  1.6         0.5        -0.00454692  1.6         0.5
 -0.00482717  1.6         0.5         0.01151358  1.6         0.5       ]"
"[ 0.27855259  1.78698006  0.423875   -0.28799505  1.64991659  0.58869981
  0.40130458  1.4935447   0.67858867 -0.31632244  1.76275158  0.69935811]","[1.22 1.22 1.22 1.22 1.22 1.41 1.41 1.41 1.41 1.41 1.41 1.72 1.72 1.72
 1.72 1.72 1.72 1.72 1.89 1.89 1.89 1.89 1.89]","[-0.53 -0.26 -0.04  0.19  0.53 -0.63 -0.55 -0.28  0.    0.42  0.83 -0.7
 -0.38 -0.27 -0.08  0.17  0.37  0.83 -0.62 -0.31  0.05  0.29  0.58]","[ 0.01574803 -0.05755396 -0.09359606  0.          0.02874133  0.2450495
  0.21638924  0.08744395  0.11162791  0.15533981  0.22344322  0.39457203
  0.18469657  0.08650519  0.12043302  0.17849462  0.20496894  0.16324324
  0.28023599  0.08444444  0.15841584  0.23        0.21192053]","[0.0627378  0.0598766  0.04941131 0.05012547 0.03146842 0.03410726
 0.03493502 0.03335422 0.0338866  0.06882754 0.04171403 0.04198401
 0.03569674 0.05860302 0.03651785 0.03226469 0.04453551 0.03243874
 0.03686593 0.04697208 0.06947129 0.03973034 0.03246818]",[0.77151285 1.12054689],0.5652173913043478,0.6086956521739131,0.9565217391304348,0.2608695652173913,0.43478260869565216,0.9130434782608695,"[-3.33614956 -3.08452568 -2.97077591  2.84785712  1.02668529 -3.70361057
  1.19447901 -0.25926297  0.1556671   3.74233268  0.54120751 -1.28472729]","[ 0.21252326  1.6893394   0.31499942 -0.15076487  1.74054712  0.28275891
  0.47397773  1.40000003  0.74993739 -0.17748204  1.8         0.25000031]","[-5.47641196 -4.75256286 -5.46966751  1.42689449  0.37588127 -0.46906503
 -0.11799619 -1.62518969 -0.12494941  1.93755764 -0.72014336 -2.17520057]","[ 0.19610921  1.6717174   0.29217616 -0.15753566  1.79999996  0.40977063
  0.3819729   1.40000001  0.62574673 -0.15815441  1.6667231   0.34795291]"
"[-0.23257605  1.50301287  0.44233853 -0.55337061  1.47199727  0.39878186
  0.74584734  1.76966594  0.33876558 -0.52129115  1.45970104  0.74711297]","[1.34 1.34 1.34 1.34 1.34 1.34 1.42 1.42 1.42 1.42 1.42 1.42 1.42 1.42
 1.42 1.65 1.65 1.65 1.65 1.97 1.97 1.97 1.97 1.97]","[-0.62 -0.53 -0.12  0.11  0.56  0.84 -0.68 -0.55 -0.46 -0.15  0.03  0.22
  0.33  0.54  0.78 -0.44 -0.31  0.2   0.45 -0.55 -0.32 -0.11  0.18  0.78]","[ 0.09379509 -0.11299435 -0.30923695 -0.32467532 -0.4        -0.48616601
  0.20941176 -0.05037513 -0.16828479 -0.45714286 -0.5095057  -0.43505155
 -0.5026738  -0.39060403 -0.44808743 -0.30434783 -0.49116608 -0.60147601
 -0.46969697 -0.18012422 -0.44250871 -0.59471366 -0.45123967 -0.02634352]","[0.03781939 0.05280901 0.06026623 0.06223075 0.03908034 0.0388481
 0.0474316  0.03269696 0.03965221 0.05315141 0.03751816 0.02891028
 0.044701   0.03372666 0.03304281 0.03511186 0.0517795  0.0343153
 0.0290429  0.038761   0.05293432 0.05335921 0.03628133 0.03245011]",[0.14778902 0.98477201],0.4583333333333333,0.75,0.9583333333333334,0.875,0.9583333333333334,1.0,"[-0.03755836  0.67935982 -0.0421643  -0.02774676  0.52508546 -0.43512846
  0.50779687  0.25885119 -0.13715601 -0.57070036  1.63967872 -0.02248983]","[-0.23483521  1.56002824  0.43629474 -0.55540467  1.50661084  0.3718928
  0.78807297  1.77949125  0.33117838 -0.69081735  1.79995526  0.7414396 ]","[ 0.09521564  0.55619657 -0.57049642  0.57468066  0.00407418 -0.21357119
  0.02243934 -0.04337237  0.07535935  1.78742297  1.09526757 -1.01902151]","[-0.21898926  1.68055169  0.28693037 -0.29901603  1.47339135  0.30121547
  0.75619209  1.75387681  0.36045591 -0.19057444  1.69008338  0.25024523]"
"[ 0.86243374  1.42677123  0.5692223   0.33347438  1.52625597  0.69595423
 -0.51746024  1.71694564  0.57064516  0.60945317  1.68621295  0.6383431 ]","[1.39 1.39 1.39 1.39 1.39 1.39 1.41 1.41 1.41 1.41 1.62 1.62 1.62 1.62
 1.82 1.82 1.82 1.82 1.82 1.82 1.82 1.82]","[-0.76 -0.31 -0.17  0.01  0.5   0.61 -0.58 -0.33  0.25  0.46 -0.82 -0.4
  0.3   0.64 -0.78 -0.52 -0.34 -0.12  0.14  0.28  0.6   0.72]","[0.34285714 0.76302083 0.78632479 0.74683544 0.43333333 0.53658537
 0.57635468 0.72774869 0.69312169 0.58152174 0.11842105 0.75603217
 0.58895706 0.54216867 0.16923077 0.55636364 0.70772443 0.6802168
 0.59859155 0.54716981 0.42222222 0.43446244]","[0.03000763 0.02332401 0.04038772 0.02645263 0.05817439 0.03522145
 0.04055694 0.03509083 0.03707501 0.04240823 0.05695036 0.02396421
 0.04476008 0.05324993 0.0499066  0.0501075  0.02282561 0.02698251
 0.02744367 0.02709958 0.0294882  0.03456531]",[0.03297552 1.10048616],0.5909090909090909,0.7272727272727273,0.9545454545454546,0.7727272727272727,0.9090909090909091,1.0,"[-0.72632193  1.37327059 -0.38824049 -8.55262196  2.01212173 -1.27529904
 -3.40146902 -0.4332114   0.58026093 -4.61091921  0.01301592 -4.70722602]","[ 0.74627844  1.500445    0.52280579  0.13268218  1.66669403  0.25001483
 -0.75709904  1.59126886  0.74995094  0.29832218  1.68705677  0.28543959]","[  2.00406975  -0.065504     7.1023903    0.1624745    0.78986868
   0.14272097   7.9945922   -1.10982153 -13.56690894  -0.66707327
  -0.70933435  -1.32482367]","[ 0.92279263  1.40151789  0.72950082  0.41569874  1.7990798   0.746325
 -0.31993993  1.40005091  0.28468961  0.48298313  1.4038466   0.44055211]"
